"Private_School_Name","State_Name_Latest","State_Name_2019_20","STATE_not_geo_file","STATE","Private_School_Name_2019_20","PPIN","Total_Students_Private_2019_20","Black_Students_Private_2019_20","Hispanic_Students_Private_2019_20","Native_Students_Private_2019_20","Hawaiian_Students_Private_2019_20","Asian_Students_Private_2019_20","White_Students_Private_2019_20","prop_black","prop_hispanic","prop_native","prop_hawaiian","prop_asian","prop_white","FTE_Teachers_Private_2019_20","LOCALE","urbanicity_geo_data","LAT","LON","urbanicity"
"TORAH ACADEMY FOR GIRLS","NEW YORK","NEW YORK","NY","NY","TORAH ACADEMY FOR GIRLS","00935861",1485,0,0,0,0,0,1303,0,0,0,0,0,100,72.5,"11","city",40.59925,-73.739971,"city"
"WILLIAM SPYROPOULOS GREEK-AMERICAN DAY SCHOOL","NEW YORK","NEW YORK","NY","NY","WILLIAM SPYROPOULOS GREEK-AMERICAN DAY SCHOOL","00936446",397,0,0,0,0,0,397,0,0,0,0,0,100,28.8,"11","city",40.757335,-73.785165,"city"
"YESHIVA OF CENTRAL QUEENS","NEW YORK","NEW YORK","NY","NY","YESHIVA OF CENTRAL QUEENS","00936672",958,0,0,0,0,0,918,0,0,0,0,0,100,68.1,"11","city",40.72994,-73.819271,"city"
NA,NA,NA,NA,"NY",NA,"00937304",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","city",40.60048,-73.743881,"city"
"LEXINGTON SCHOOL FOR THE DEAF","NEW YORK","NEW YORK","NY","NY","LEXINGTON SCHOOL FOR THE DEAF","00937891",264,49,125,0,0,49,16,19.6,50,0,0,19.6,6.4,73,"11","city",40.76141,-73.893554,"city"
NA,NA,NA,NA,"NY",NA,"00938931",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","city",40.72297,-73.906051,"city"
"FLUSHING CHRISTIAN SCHOOL","NEW YORK","NEW YORK","NY","NY","FLUSHING CHRISTIAN SCHOOL","00939196",120,28,22,0,2,40,18,23.33,18.33,0,1.67,33.33,15,13.3,"11","city",40.761577,-73.812655,"city"
NA,NA,NA,NA,"NY",NA,"00939527",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","city",40.755017,-73.88877,"city"
"FOREST HILLS MONTESSORI SCHOOL","NEW YORK","NEW YORK","NY","NY","FOREST HILLS MONTESSORI SCHOOL","00940237",100,4,3,0,0,25,21,7.14,5.36,0,0,44.64,37.5,9.3,"11","city",40.72389,-73.855571,"city"
"THE LOWELL SCHOOL","NEW YORK","NEW YORK","NY","NY","THE LOWELL SCHOOL","00940587",250,0,120,0,0,4,113,0,48,0,0,1.6,45.2,37,"11","city",40.77746,-73.824481,"city"
"ASTORIA LUTHERAN SCHOOL","NEW YORK","NEW YORK","NY","NY","ASTORIA LUTHERAN SCHOOL","00941161",116,7,16,0,2,4,32,10.77,24.62,0,3.08,6.15,49.23,8.8,"11","city",40.77731,-73.908171,"city"
NA,NA,NA,NA,"NY",NA,"00941434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","city",40.765722,-73.923121,"city"
